feature,class_label
"[-2.81027374e+02  8.94792328e+01 -3.68093376e+01  2.53166237e+01
 -5.72245419e-01  1.01640253e+01 -9.69584137e-02  1.61982651e+01
 -6.58525562e+00  2.16096330e+00 -6.88273144e+00 -5.03912306e+00
  3.81667256e+00  2.01611824e+01  1.26406069e+01  5.99604988e+00
 -1.04425163e+01 -1.86352215e+01 -7.81102467e+00  1.22259579e+01
  8.86597061e+00 -1.01589422e+01 -1.75344143e+01  3.29772210e+00
  1.04093113e+01  6.34468699e+00 -9.97767162e+00  1.39208889e+01
  2.23531914e+01 -1.22043300e+00 -2.68125572e+01 -9.89801466e-01
  1.21716747e+01 -4.51302814e+00 -8.01226425e+00  4.92091227e+00
 -1.22531290e+01 -7.88689423e+00  1.33713255e+01  1.06333933e+01
 -6.38282728e+00 -1.17125273e+00  3.18123913e+00 -6.05487299e+00
 -5.15542555e+00  7.06167030e+00 -8.45812702e+00  4.20033789e+00
  3.24912691e+00 -1.40213003e+01 -1.17873974e+01  1.46709309e+01
  6.57000422e-01  5.29324532e+00  5.75418770e-01 -6.46350384e+00
  6.39690220e-01  4.35198879e+00 -8.23173141e+00  5.36738443e+00
 -3.01204920e+00 -5.17156839e+00 -6.17322564e-01 -3.81714368e+00
 -2.51450253e+00  2.01253414e+00  2.95554519e+00  1.02695379e+01
 -1.22426014e+01 -3.45262825e-01  5.31152487e+00 -2.31535316e+00
 -1.22739363e+00 -4.87993145e+00 -4.45468330e+00  3.61745739e+00
 -5.12444019e+00  3.31104779e+00 -4.38541079e+00  5.62799549e+00]",car_horn
"[-2.7085364e+02  7.3151764e+01 -1.4924307e+01  3.5938751e+01
 -2.0691921e+01 -6.6026669e+00  1.7858807e+01  4.7245932e+00
 -1.0536496e+01  2.0915386e+01 -3.1816776e+00  1.7034438e+00
  2.4472995e+00  2.6903853e-01 -1.6553495e+01  5.7756739e+00
 -1.4432480e+01  2.5200975e+00  3.0066493e+00  4.9144903e-01
  9.4281702e+00  1.3603308e+01  1.2376209e+00  1.4981052e+00
  1.7397431e+00 -9.8800020e+00 -4.3768287e+00  1.0390037e+01
 -4.2516561e+00 -3.7976251e+00 -9.4673723e-01  6.6299458e+00
 -3.6027825e+00 -6.0963731e+00 -1.5017414e+01 -2.5484674e-02
 -1.6349223e+00  4.7510543e+00 -1.8701019e+01  1.2592943e+01
  1.1752377e+01  4.6533556e+00 -1.4091424e+01  4.7063880e+00
  4.1257257e+00 -7.3140721e+00 -1.1565866e+01  3.8634079e+00
  3.1387265e+00 -4.6780972e+00 -3.8336623e+00  5.6273522e+00
  1.9002213e+00 -1.1728753e+01 -2.4480035e+00  5.5688806e+00
 -1.3295462e+01 -1.7401743e+00  1.3337035e+01 -2.4432089e+00
 -6.1892452e+00  1.2957172e+01  2.3732159e+00 -7.0902524e+00
  5.6118989e+00 -3.1928620e+00 -1.0406963e+01  1.0219861e+01
  2.6287985e-01 -1.4345594e+01  3.9106910e+00  6.2630868e+00
 -1.0210971e+01  3.2622950e+00 -3.0200305e+00 -6.9852204e+00
  7.3717022e+00 -4.3667293e+00 -5.8357816e+00  1.1960346e+01]",car_horn
"[-116.74547     139.72992     -55.737732     76.43503     -27.033169
   44.374405    -21.325579     22.014845    -30.740993     16.629265
    7.779976    -11.148785      5.0776486   -16.820309      8.895143
  -15.465624     20.53083      -5.680821     -0.4682577    -2.6474886
    2.32747      12.432624     -0.8247153     5.8183136    -9.066264
   10.461363     -0.95646286   -1.3265927    -6.2957754    -0.8421804
    0.92063034    1.0015916     2.7838614    -9.250736     -1.2387527
   -5.3687468     3.8386083     1.6713578    -1.5610826    -0.75797874
    8.692863      9.152393      2.077097     -1.8906226    -0.59221673
    3.275499     -3.3514993     7.5542703     3.382563     -4.0056853
  -10.526113      6.1332297     4.5470414   -10.462547      5.746252
    1.4281422    -4.6164694     1.7278951     8.87961      -8.41051
   -5.199842     10.456831     -0.9331481    -5.9804344     3.9247737
   -0.98169464   -8.870983      6.3323793    -3.6631062   -10.482599
    1.3273463     0.7062781    -7.880927     -0.5439813     1.158996
   -9.212597      2.8030574     0.2990728    -4.51712       4.1121416 ]",car_horn
"[-324.61105     129.0346      -35.05587      13.450824     -1.3011255
    8.892423     -7.453589      7.8357973   -10.839251      3.5426075
   -8.570081     -9.372043     -8.786159     13.336637     11.518252
   13.28282       1.1038198    -3.0250084     5.716882     12.181773
   -2.3287902   -21.786291    -19.826298      8.032124      2.8442502
    6.2566795    -9.224905     12.701939     14.850421     -1.689769
  -25.7469        2.7555573    23.998062      6.675567     -6.946197
    2.9739566    -2.7003663   -16.224342      3.0200393    16.71092
   -4.1899476    -2.7925286     2.6750727    -1.4313996   -14.213477
   -3.9400465    -4.1301665     3.1846604     2.2831948   -10.186183
    6.1174006    10.237137      3.4113255     7.299286     -5.715073
   -2.5969026    -1.038816     -2.1706364   -11.505395      3.3836563
   -8.248394    -11.930332      5.0601573     1.2036797    -3.1981015
    7.5193086     9.452539      6.04119      -7.631899     -7.0258946
    1.9064671     0.6884638    -3.1766562     0.96712327   -8.940997
   -1.7458987    -0.36884287   -3.5859077    -0.8006645     6.402991  ]",car_horn
"[-3.0396353e+02  1.2169403e+02 -2.6091593e+01  1.4665926e+01
 -7.8065877e+00  8.9092379e+00 -9.9392157e+00  1.0452004e+01
  2.1815798e+00 -2.5248709e+00 -1.4151396e+00 -1.7666839e+00
 -1.1199414e+01  3.7317758e+00 -6.6364713e+00  5.9195266e+00
  1.7072094e+01  1.6589724e+01  7.4596496e+00 -1.0818995e+00
 -1.8941750e+01 -1.2387113e+01  6.1846628e+00  1.1088427e+01
 -7.6945405e+00 -1.0484390e+01 -1.2135095e+01  5.0783911e+00
 -2.0833948e+00 -1.3861342e+01 -1.3914548e+01  1.2966292e+01
  2.2636938e+01  6.2021303e+00  2.3325592e-01  9.9692554e+00
 -1.0715343e+00 -1.3698140e+01 -1.3168008e+01  1.2117650e+01
  7.6777139e+00 -1.1712651e+01 -9.6711502e+00  5.3677530e+00
 -9.4517775e+00 -5.4429860e+00  8.4595108e+00 -3.5753245e+00
 -4.8801303e+00  1.9195957e+01  1.5784178e+01 -4.7393756e+00
 -6.7914205e+00 -1.3471618e+00 -6.8058786e+00  3.5463824e+00
  1.3480207e+00 -3.0226178e+00 -5.2997994e+00  5.0182352e+00
 -7.9093862e+00 -7.5409718e+00  4.6084042e+00 -2.0256867e-01
  1.0364965e+00  4.2683272e+00  3.0368316e+00  9.8750153e+00
 -1.3664459e+00 -1.0352401e+01 -2.9309973e-02  1.6318628e+00
 -4.4013104e+00  2.5087082e+00 -8.4487534e+00 -2.8477995e+00
 -3.6661606e+00 -6.0434060e+00  4.6303959e+00 -3.9578023e+00]",car_horn
"[-2.07753998e+02  1.84704018e+01  2.14001131e+00  4.83730583e+01
 -1.59637413e+01 -2.48441486e+01  2.76719284e+01  5.74407434e+00
 -7.94573212e+00  5.58914900e+00  4.68476105e+00  2.84346390e+00
 -4.20271778e+00  3.70181656e+00 -1.18325939e+01 -4.63702631e+00
 -3.34967422e+00 -6.33528805e+00  6.20692825e+00  4.31465340e+00
  1.22952824e+01  1.63773174e+01 -2.30143261e+00  1.49521327e+00
 -3.45383930e+00 -7.95357645e-01 -3.80523014e+00 -2.54763889e+00
  2.28106451e+00 -6.75046778e+00  1.80003107e+00  3.45076656e+00
 -1.48561358e-01  3.46758628e+00 -1.44135895e+01 -6.01590097e-01
 -1.25868487e+00  3.56849618e-02 -8.74075031e+00  9.19934464e+00
  1.23564463e+01  4.36144352e+00 -8.99390125e+00 -1.68902481e+00
  8.00589275e+00 -1.34047222e+01 -3.78536487e+00  1.14466276e+01
 -2.48781753e+00 -3.95945096e+00 -3.76983309e+00  1.69422302e+01
 -6.86981487e+00 -1.07718658e+01  2.83926916e+00  1.08431108e-01
 -1.55826511e+01  6.01573420e+00  1.33634872e+01 -5.25041723e+00
 -2.99769354e+00  1.52720003e+01 -7.00293589e+00 -6.20599508e+00
  2.99726462e+00 -1.19943351e-01 -1.22929678e+01  1.23799124e+01
  2.86081362e+00 -1.49195042e+01  7.62802172e+00  2.71788287e+00
 -8.41157627e+00 -6.18903875e-01 -1.17970407e+00 -1.09691620e+01
  4.39840412e+00 -2.94439554e+00 -5.47905254e+00  1.45755358e+01]",car_horn
"[-203.85669      74.42377     -53.025127     14.361218    -10.650262
    8.351771     -5.9923325     9.414766      5.1405272    -2.0896907
  -14.190885     -9.1564245    -8.362129      4.491321     17.033377
   26.835915     21.99588       3.125007     -8.555728     -7.060122
   -9.245268      0.2163881     0.8036278    -0.9979518   -15.155827
    5.7761626    -4.2081213     9.261766     13.528038      1.3567883
   -4.288933      5.849522     11.981238      8.757629      3.14373
    2.7348182   -12.319465    -18.792484    -16.134527     20.109035
   10.936682     -4.328728     -5.099693      3.236073      3.4832933
   -3.4898198    -8.012975    -11.500476     12.550515     31.526133
   -1.5867947   -22.004953     -7.951719      7.4129868     9.092092
    8.592689     -7.5324035     2.5585477     7.0289264   -12.417984
   -8.089955      6.5169797    -1.9542853    -1.344632      1.3125592
    3.520791      1.1730858    -1.8809328    -2.9927065     3.3178701
    4.0804048     1.2485324    -4.0098643    -5.2692714    -2.998446
   -3.799013     -1.1519359    -5.066818      0.50775176   -4.7545676 ]",car_horn
"[-2.79424927e+02  1.04118378e+02 -2.01338749e+01  2.01364536e+01
 -2.58132696e+00  1.22062883e+01  2.52663517e+00  1.33736029e+01
 -1.91080832e+00  4.12134379e-01 -6.70529664e-01 -2.91831541e+00
 -2.22549987e+00  1.46835537e+01  2.26595325e+01  8.48806667e+00
 -1.04617367e+01 -1.56046371e+01 -1.56710625e+01  9.90008259e+00
  3.21878910e+00 -5.79271507e+00 -1.57680769e+01 -9.93977737e+00
  4.45049953e+00  9.52671719e+00 -8.62315464e+00 -1.46063852e+00
  2.28031235e+01  1.10463638e+01 -2.66399422e+01 -5.79678631e+00
  6.28375828e-01 -9.49555993e-01 -7.90412760e+00  6.68276310e-01
 -9.00401115e+00 -1.61554108e+01  3.88761353e+00  2.07259445e+01
  4.92550969e-01 -2.23066807e+00  1.31201029e+01  7.94472992e-01
 -6.11593723e+00  1.26995170e+00 -5.67726040e+00 -2.67736459e+00
  1.03405752e+01 -2.85761476e+00 -1.73799686e+01  5.06342602e+00
  1.14944839e+01  4.68588161e+00  6.71814156e+00 -6.51706839e+00
  2.25517735e-01  8.25887871e+00 -1.22037287e+01  6.06991482e+00
  1.50818229e+00 -6.55744934e+00 -1.58284903e+00  2.05527258e+00
 -6.69930601e+00 -4.14291412e-01 -1.90681481e+00  1.22109375e+01
  5.81857634e+00 -1.93684578e+01  9.60954380e+00 -1.86260974e+00
 -2.51338029e+00  1.50401783e+00 -7.27748299e+00  1.88676333e+00
 -8.39384937e+00  2.95032740e+00 -1.15292847e+00 -9.06688309e+00]",car_horn
"[-2.79986206e+02  1.13927994e+02 -4.87079430e+01  1.72249165e+01
 -9.03429127e+00  1.41433582e+01 -5.95839405e+00  2.14884911e+01
 -8.89980793e+00  4.73194981e+00 -1.68504810e+00 -4.65582848e+00
 -5.30130386e+00  1.01922197e+01  1.42203426e+01  2.00511208e+01
  1.35845995e+01  1.47033892e+01  2.94147182e+00  1.18073435e+01
 -3.63933015e+00 -1.86863251e+01 -9.05317497e+00  1.74884148e+01
  1.11471376e+01 -5.25234032e+00 -7.63585567e+00  1.48273315e+01
  1.91572189e+01  8.24914360e+00 -2.26542091e+01 -5.35662937e+00
  2.44711189e+01  1.61044922e+01 -5.04193830e+00  1.42570581e+01
  3.21269703e+00 -2.24931793e+01 -7.82692909e+00  2.64964447e+01
  9.13282299e+00 -6.00722790e+00  1.04077053e+00  7.38431025e+00
 -1.11409531e+01 -6.35711288e+00 -1.92559505e+00  4.09043598e+00
  8.77105072e-02  6.25301123e+00  2.30976200e+00 -2.76935244e+00
  2.52203608e+00  1.09959316e+01 -1.98356986e-01 -1.90443289e+00
  4.58980179e+00 -1.81939280e+00 -4.94530773e+00  3.55578971e+00
 -1.04114761e+01 -6.50933933e+00  4.25383282e+00 -5.58263600e-01
 -3.70965695e+00  7.16192198e+00  3.93726015e+00  1.30070496e+01
 -4.06497574e+00 -1.14105120e+01  2.09655118e+00  2.54057264e+00
 -9.31882024e-01 -8.72622788e-01 -1.03624601e+01 -4.26591873e+00
  1.13228607e+00 -2.92340040e+00 -1.79956818e+00 -2.68719435e+00]",car_horn
"[-3.09467712e+02  1.17426292e+02 -4.20354576e+01  1.45248718e+01
 -5.73440552e+00  1.28584900e+01 -6.09618616e+00  1.83080788e+01
 -4.28112793e+00  3.82204437e+00 -2.56902289e+00 -3.66401601e+00
 -5.61436224e+00  1.03126392e+01  4.36469841e+00  1.46628990e+01
  9.77851200e+00  1.15663528e+01  5.87598276e+00  7.60579348e+00
 -8.10069084e+00 -1.79723854e+01 -6.63120747e+00  1.62411880e+01
  7.67938948e+00 -2.81738567e+00 -7.98093557e+00  1.35099831e+01
  1.39075050e+01  2.16524482e+00 -2.10059891e+01 -1.13655531e+00
  2.10482426e+01  8.18211079e+00 -1.09941244e+01  1.11427441e+01
  9.38412011e-01 -1.89185028e+01 -5.96592140e+00  2.40090179e+01
  7.55918598e+00 -3.92845631e+00  1.13827682e+00  2.24926281e+00
 -1.08742952e+01 -8.27101827e-01 -2.38221264e+00 -2.22433281e+00
 -1.19141018e+00  3.49557281e+00  6.65554941e-01  8.10562354e-03
  1.47414637e+00  1.01980867e+01  2.37027720e-01 -7.44355679e-01
  2.47444439e+00 -2.46620798e+00 -3.34438872e+00  5.55390882e+00
 -5.76596928e+00 -5.63728905e+00  2.75137043e+00 -8.52256268e-02
 -4.53492737e+00  3.94284487e+00  3.01281571e+00  9.25868893e+00
 -2.35871863e+00 -8.55688953e+00  2.75761533e+00  2.95719790e+00
 -2.79873061e+00  1.24268904e-01 -7.99200821e+00 -3.51711941e+00
  6.24820471e-01 -1.81857836e+00 -1.37514532e-01 -3.58485532e+00]",car_horn
